Consequent,Antecedent,Supp,Conf,Lift
N_P,"('7_D',)",0.05,0.98,1.0
N_P,"('6_D',)",0.05,0.97,0.99
N_P,"('5_D',)",0.05,0.95,0.97
N_P,"('4_D', 'N_WA')",0.05,1.0,1.02
N_WA,"('4_D', 'N_P')",0.05,0.85,1.0
N_WA,"('4_D',)",0.05,0.85,1.0
N_P,"('4_D',)",0.06,1.0,1.02
N_P,"('6_NP', 'low_SL', 'insufficient_LE', 'N_WA')",0.05,0.99,1.01
N_WA,"('6_NP', 'low_SL', 'insufficient_LE', 'N_P')",0.05,0.91,1.06
insufficient_LE,"('6_NP', 'low_SL', 'N_WA', 'N_P')",0.05,1.0,3.86
low_SL,"('6_NP', 'insufficient_LE', 'N_WA', 'N_P')",0.05,0.93,6.82
N_WA,"('6_NP', 'low_SL', 'insufficient_LE')",0.05,0.9,1.06
insufficient_LE,"('6_NP', 'low_SL', 'N_WA')",0.05,1.0,3.86
low_SL,"('6_NP', 'insufficient_LE', 'N_WA')",0.05,0.93,6.81
N_P,"('6_NP', 'low_SL', 'insufficient_LE')",0.06,0.99,1.01
insufficient_LE,"('6_NP', 'low_SL', 'N_P')",0.06,1.0,3.86
low_SL,"('6_NP', 'insufficient_LE', 'N_P')",0.06,0.93,6.78
insufficient_LE,"('6_NP', 'low_SL')",0.06,1.0,3.86
low_SL,"('6_NP', 'insufficient_LE')",0.06,0.93,6.78
N_P,"('6_NP', 'low_SL', 'N_WA')",0.05,0.99,1.01
N_WA,"('6_NP', 'low_SL', 'N_P')",0.05,0.91,1.06
low_SL,"('6_NP', 'N_WA', 'N_P')",0.05,0.74,5.42
N_WA,"('6_NP', 'low_SL')",0.05,0.9,1.06
low_SL,"('6_NP', 'N_WA')",0.05,0.74,5.41
N_P,"('6_NP', 'low_SL')",0.06,0.99,1.01
low_SL,"('6_NP', 'N_P')",0.06,0.73,5.33
low_SL,"('6_NP',)",0.06,0.72,5.3
N_P,"('6_NP', 'insufficient_LE', 'N_WA')",0.05,0.99,1.01
N_WA,"('6_NP', 'insufficient_LE', 'N_P')",0.05,0.9,1.05
insufficient_LE,"('6_NP', 'N_WA', 'N_P')",0.05,0.79,3.07
N_WA,"('6_NP', 'insufficient_LE')",0.06,0.9,1.05
insufficient_LE,"('6_NP', 'N_WA')",0.06,0.79,3.07
N_P,"('6_NP', 'insufficient_LE')",0.06,0.99,1.01
insufficient_LE,"('6_NP', 'N_P')",0.06,0.79,3.03
insufficient_LE,"('6_NP',)",0.06,0.78,3.02
N_P,"('6_NP', 'intensive_H')",0.05,0.98,1.0
intensive_H,"('6_NP', 'N_P')",0.05,0.69,1.4
intensive_H,"('6_NP',)",0.05,0.69,1.4
N_P,"('6_NP', 'N_WA')",0.07,0.99,1.01
N_WA,"('6_NP', 'N_P')",0.07,0.89,1.04
N_WA,"('6_NP',)",0.07,0.89,1.04
N_P,"('6_NP',)",0.08,0.98,1.0
N_P,"('3_D', 'N_L', 'N_WA')",0.05,1.0,1.02
N_WA,"('3_D', 'N_L', 'N_P')",0.05,0.84,0.98
N_L,"('3_D', 'N_WA', 'N_P')",0.05,0.75,0.99
N_WA,"('3_D', 'N_L')",0.05,0.84,0.98
N_L,"('3_D', 'N_WA')",0.05,0.75,0.99
N_P,"('3_D', 'N_L')",0.06,1.0,1.02
N_L,"('3_D', 'N_P')",0.06,0.78,1.02
N_L,"('3_D',)",0.06,0.78,1.02
N_P,"('3_D', 'N_WA')",0.07,1.0,1.02
N_WA,"('3_D', 'N_P')",0.07,0.87,1.01
N_WA,"('3_D',)",0.07,0.87,1.01
N_P,"('3_D',)",0.08,1.0,1.02
N_P,"('2_S', 'N_L', 'N_WA')",0.06,0.94,0.96
N_WA,"('2_S', 'N_L', 'N_P')",0.06,0.84,0.98
N_L,"('2_S', 'N_WA', 'N_P')",0.06,0.92,1.2
N_WA,"('2_S', 'N_L')",0.06,0.83,0.97
N_L,"('2_S', 'N_WA')",0.06,0.92,1.21
N_P,"('2_S', 'N_L')",0.07,0.94,0.96
N_L,"('2_S', 'N_P')",0.07,0.93,1.22
N_L,"('2_S',)",0.08,0.93,1.23
N_P,"('2_S', 'N_WA')",0.07,0.95,0.97
N_WA,"('2_S', 'N_P')",0.07,0.85,0.99
N_WA,"('2_S',)",0.07,0.84,0.99
N_P,"('2_S',)",0.08,0.94,0.96
N_P,"('5_T', 'Y_L', 'intensive_H')",0.05,1.0,1.02
intensive_H,"('5_T', 'Y_L', 'N_P')",0.05,0.91,1.86
Y_L,"('5_T', 'intensive_H', 'N_P')",0.05,0.73,3.08
intensive_H,"('5_T', 'Y_L')",0.05,0.91,1.86
Y_L,"('5_T', 'intensive_H')",0.05,0.73,3.06
N_P,"('5_T', 'Y_L', 'N_WA')",0.05,1.0,1.02
N_WA,"('5_T', 'Y_L', 'N_P')",0.05,0.95,1.12
Y_L,"('5_T', 'N_WA', 'N_P')",0.05,0.62,2.58
N_WA,"('5_T', 'Y_L')",0.05,0.95,1.11
Y_L,"('5_T', 'N_WA')",0.05,0.61,2.56
N_P,"('5_T', 'Y_L')",0.06,1.0,1.02
Y_L,"('5_T', 'N_P')",0.06,0.57,2.4
Y_L,"('5_T',)",0.06,0.57,2.38
N_P,"('5_T', 'high_SL', 'intensive_H')",0.05,0.99,1.01
intensive_H,"('5_T', 'high_SL', 'N_P')",0.05,0.86,1.76
high_SL,"('5_T', 'intensive_H', 'N_P')",0.05,0.73,1.52
intensive_H,"('5_T', 'high_SL')",0.05,0.86,1.74
high_SL,"('5_T', 'intensive_H')",0.05,0.73,1.52
N_P,"('5_T', 'high_SL', 'N_WA')",0.05,0.99,1.01
N_WA,"('5_T', 'high_SL', 'N_P')",0.05,0.92,1.07
high_SL,"('5_T', 'N_WA', 'N_P')",0.05,0.62,1.3
N_WA,"('5_T', 'high_SL')",0.05,0.91,1.07
high_SL,"('5_T', 'N_WA')",0.05,0.62,1.3
N_P,"('5_T', 'high_SL')",0.06,0.99,1.01
high_SL,"('5_T', 'N_P')",0.06,0.6,1.26
high_SL,"('5_T',)",0.06,0.6,1.26
N_P,"('5_T', '0_S')",0.05,0.99,1.01
N_P,"('5_T', 'intensive_H', 'N_WA')",0.06,1.0,1.02
N_WA,"('5_T', 'intensive_H', 'N_P')",0.06,0.91,1.07
intensive_H,"('5_T', 'N_WA', 'N_P')",0.06,0.73,1.5
N_WA,"('5_T', 'intensive_H')",0.06,0.91,1.06
intensive_H,"('5_T', 'N_WA')",0.06,0.73,1.49
N_P,"('5_T', 'intensive_H')",0.07,0.99,1.01
intensive_H,"('5_T', 'N_P')",0.07,0.71,1.45
intensive_H,"('5_T',)",0.07,0.71,1.45
N_P,"('5_T', 'N_WA')",0.09,0.99,1.01
N_WA,"('5_T', 'N_P')",0.09,0.89,1.04
N_WA,"('5_T',)",0.09,0.88,1.03
N_P,"('5_T',)",0.1,0.99,1.01
N_P,"('low_SL', '4_T', 'Y_L', 'insufficient_LE', 'N_WA')",0.05,1.0,1.02
N_WA,"('low_SL', '4_T', 'Y_L', 'insufficient_LE', 'N_P')",0.05,0.95,1.11
insufficient_LE,"('low_SL', '4_T', 'Y_L', 'N_WA', 'N_P')",0.05,1.0,3.86
Y_L,"('low_SL', '4_T', 'insufficient_LE', 'N_WA', 'N_P')",0.05,0.79,3.31
4_T,"('low_SL', 'Y_L', 'insufficient_LE', 'N_WA', 'N_P')",0.05,0.84,4.91
low_SL,"('4_T', 'Y_L', 'insufficient_LE', 'N_WA', 'N_P')",0.05,0.98,7.16
N_WA,"('low_SL', '4_T', 'Y_L', 'insufficient_LE')",0.05,0.95,1.11
insufficient_LE,"('low_SL', '4_T', 'Y_L', 'N_WA')",0.05,1.0,3.86
Y_L,"('low_SL', '4_T', 'insufficient_LE', 'N_WA')",0.05,0.79,3.3
4_T,"('low_SL', 'Y_L', 'insufficient_LE', 'N_WA')",0.05,0.84,4.91
low_SL,"('4_T', 'Y_L', 'insufficient_LE', 'N_WA')",0.05,0.98,7.16
N_P,"('low_SL', '4_T', 'Y_L', 'insufficient_LE')",0.05,1.0,1.02
insufficient_LE,"('low_SL', '4_T', 'Y_L', 'N_P')",0.05,1.0,3.86
Y_L,"('low_SL', '4_T', 'insufficient_LE', 'N_P')",0.05,0.76,3.17
4_T,"('low_SL', 'Y_L', 'insufficient_LE', 'N_P')",0.05,0.84,4.92
low_SL,"('4_T', 'Y_L', 'insufficient_LE', 'N_P')",0.05,0.98,7.17
insufficient_LE,"('low_SL', '4_T', 'Y_L')",0.05,1.0,3.86
Y_L,"('low_SL', '4_T', 'insufficient_LE')",0.05,0.75,3.16
4_T,"('low_SL', 'Y_L', 'insufficient_LE')",0.05,0.84,4.92
low_SL,"('4_T', 'Y_L', 'insufficient_LE')",0.05,0.98,7.17
N_P,"('low_SL', '4_T', 'Y_L', 'N_WA')",0.05,1.0,1.02
N_WA,"('low_SL', '4_T', 'Y_L', 'N_P')",0.05,0.95,1.11
Y_L,"('low_SL', '4_T', 'N_WA', 'N_P')",0.05,0.79,3.31
4_T,"('low_SL', 'Y_L', 'N_WA', 'N_P')",0.05,0.84,4.91
low_SL,"('4_T', 'Y_L', 'N_WA', 'N_P')",0.05,0.92,6.71
N_WA,"('low_SL', '4_T', 'Y_L')",0.05,0.95,1.11
Y_L,"('low_SL', '4_T', 'N_WA')",0.05,0.79,3.3
4_T,"('low_SL', 'Y_L', 'N_WA')",0.05,0.84,4.91
low_SL,"('4_T', 'Y_L', 'N_WA')",0.05,0.92,6.71
N_P,"('low_SL', '4_T', 'Y_L')",0.05,1.0,1.02
Y_L,"('low_SL', '4_T', 'N_P')",0.05,0.76,3.17
4_T,"('low_SL', 'Y_L', 'N_P')",0.05,0.84,4.92
low_SL,"('4_T', 'Y_L', 'N_P')",0.05,0.92,6.7
Y_L,"('low_SL', '4_T')",0.05,0.75,3.16
4_T,"('low_SL', 'Y_L')",0.05,0.84,4.92
low_SL,"('4_T', 'Y_L')",0.05,0.92,6.7
N_P,"('low_SL', '4_T', 'insufficient_LE', 'intensive_H')",0.05,0.99,1.02
intensive_H,"('low_SL', '4_T', 'insufficient_LE', 'N_P')",0.05,0.75,1.52
insufficient_LE,"('low_SL', '4_T', 'intensive_H', 'N_P')",0.05,1.0,3.86
4_T,"('low_SL', 'insufficient_LE', 'intensive_H', 'N_P')",0.05,0.63,3.69
low_SL,"('4_T', 'insufficient_LE', 'intensive_H', 'N_P')",0.05,0.97,7.1
intensive_H,"('low_SL', '4_T', 'insufficient_LE')",0.05,0.74,1.52
insufficient_LE,"('low_SL', '4_T', 'intensive_H')",0.05,1.0,3.86
4_T,"('low_SL', 'insufficient_LE', 'intensive_H')",0.05,0.63,3.67
low_SL,"('4_T', 'insufficient_LE', 'intensive_H')",0.05,0.97,7.11
N_P,"('low_SL', '4_T', 'insufficient_LE', 'N_WA')",0.07,0.99,1.02
N_WA,"('low_SL', '4_T', 'insufficient_LE', 'N_P')",0.07,0.91,1.07
insufficient_LE,"('low_SL', '4_T', 'N_WA', 'N_P')",0.07,1.0,3.86
4_T,"('low_SL', 'insufficient_LE', 'N_WA', 'N_P')",0.07,0.55,3.23
low_SL,"('4_T', 'insufficient_LE', 'N_WA', 'N_P')",0.07,0.93,6.84
